time, state, vote_mechanism, vote_name, short_id
2021-07-29 17:44:22.911, ["3"; "4"; "1"; "5"; "2"], Modified Borda Count, Vote 12, 61287
2021-07-29 17:44:36.541, ["0"], Majority Voting, Vote 13, 61287
2021-07-29 17:44:42.604, ["3"], Majority Voting, Vote 13, 61287
2021-07-29 17:45:17.756, ["0"; "-1"; "0"; "0"; "0"], Combined Approval, Vote 14, 61287
2021-07-29 17:45:20.528, ["1"; "-1"; "0"; "0"; "0"], Combined Approval, Vote 14, 61287
2021-07-29 17:45:23.075, ["1"; "-1"; "-1"; "0"; "0"], Combined Approval, Vote 14, 61287
2021-07-29 17:45:31.080, ["1"; "-1"; "-1"; "1"; "0"], Combined Approval, Vote 14, 61287
2021-07-29 17:45:40.940, ["0"; "0"; "0"; "1"; "0"], Score Voting, Vote 15, 61287
2021-07-29 17:45:41.099, ["0"; "0"; "0"; "2"; "0"], Score Voting, Vote 15, 61287
2021-07-29 17:45:41.275, ["0"; "0"; "0"; "3"; "0"], Score Voting, Vote 15, 61287
2021-07-29 17:45:41.449, ["0"; "0"; "0"; "4"; "0"], Score Voting, Vote 15, 61287
2021-07-29 17:45:41.632, ["0"; "0"; "0"; "5"; "0"], Score Voting, Vote 15, 61287
2021-07-29 17:45:50.188, ["1"; "0"; "0"; "5"; "0"], Score Voting, Vote 15, 61287
2021-07-29 17:45:50.340, ["2"; "0"; "0"; "5"; "0"], Score Voting, Vote 15, 61287
2021-07-29 17:45:50.840, ["3"; "0"; "0"; "5"; "0"], Score Voting, Vote 15, 61287
2021-07-29 17:46:01.177, ["3"; "0"; "0"; "5"; "1"], Score Voting, Vote 15, 61287
2021-07-29 17:46:04.791, ["3"; "0"; "0"; "5"; "0"], Score Voting, Vote 15, 61287
2021-07-29 17:46:09.041, ["3"; "0"; "0"; "4"; "0"], Score Voting, Vote 15, 61287
2021-07-29 17:46:09.343, ["3"; "0"; "0"; "5"; "0"], Score Voting, Vote 15, 61287
2021-07-29 17:46:14.537, ["3"; "1"; "0"; "5"; "0"], Score Voting, Vote 15, 61287
2021-07-29 17:46:20.806, ["3"; "1"; "0"; "5"; "1"], Score Voting, Vote 15, 61287
